Producto,Categoría,Especificaciones Técnicas,Beneficio de Transformación (Copywriting),Público Objetivo,Precio Estimado (COP),Inventario,,
Audífonos Sony WH-1000XM5,Tecnología,"Cancelación de ruido activa, 30h batería, Bluetooth 5.2.","Silencio absoluto para concentrarte en lo que importa, sin interrupciones.",Profesionales en home office,1600000,10,,
Cafetera Espresso Portátil,Hogar,"Presión 18 bares, compatible con cápsulas y café molido.","Tu café de especialidad donde sea que estés, sin complicaciones.",Viajeros y amantes del café,350000,15,,
Teclado Mecánico Keychron K2,Tecnología,"RGB, Switches Brown, inalámbrico, compatible con Mac/Win.","Escribir se siente como un placer, no como una tarea.",Programadores y escritores,520000,5,,
"Luz de Anillo LED 12\"",Contenido""","3 modos de luz, 10 niveles de brillo, trípode ajustable.",Iluminación profesional para que tus videos se vean impecables al instante.,Creadores de contenido,120000,20,,,
Silla Ergonómica Herman Miller Aeron,Muebles,"Soporte lumbar ajustable, malla transpirable, 12 años garantía.",Protege tu espalda para que el cansancio no detenga tu productividad.,Ejecutivos y gamers,6500000,3,,
Kindle Paperwhite 16GB,Tecnología,Pantalla 6.8\,luz cálida ajustable,"resistente al agua.""","Toda tu biblioteca personal en la palma de tu mano, sin fatiga visual.",Lectores ávidos,750000,12
Botella de Agua Inteligente,Hogar,"Acero inoxidable, recordatorio LED de hidratación, app móvil.",La forma más sencilla de mantenerte saludable e hidratado todo el día.,Deportistas y oficinistas,180000,25,,
Mouse Logitech MX Master 3S,Tecnología,"Sensor 8K DPI, botones silenciosos, scroll electromagnético.",Precisión milimétrica y comodidad para jornadas largas de diseño.,Diseñadores gráficos,480000,8,,
Soporte Elevador para Laptop,Oficina,"Aluminio premium, plegable, 6 niveles de altura.",Mejora tu postura al instante y evita dolores de cuello innecesarios.,Estudiantes y freelancers,95000,40,,
Micrófono Shure MV7,Audio,"Conexión USB/XLR, patrón cardioide, software de voz.",Tu voz sonará como si estuvieras en una cabina de radio profesional.,Podcasters y streamers,1250000,6,,
Webcam Logitech C920 HD,Tecnología,"Full HD 1080p, corrección de luz automática.",Muestra tu mejor imagen en cada reunión de trabajo o llamada.,Teletrabajadores,320000,18,,
Cargador MagSafe Inalámbrico,Tecnología,"Carga rápida 15W, imanes alineados, USB-C.","Olvídate de los cables enredados, carga tu teléfono con un solo toque.",Usuarios de iPhone,150000,30,,
Organizador de Cables de Escritorio,Oficina,"Silicona flexible, adhesivo 3M, capacidad 5 cables.",Un espacio de trabajo limpio es una mente enfocada y productiva.,Minimalistas,45000,50,,
Lente para Celular 4 en 1,Fotografía,"Macro, Gran Angular, Ojo de Pez, Caleidoscopio.",Fotos profesionales desde tu celular sin gastar en cámaras costosas.,Fotógrafos aficionados,85000,22,,
Mochila Antirrobo Impermeable,Moda,"Puerto USB externo, compartimento laptop 15.6\","cierres ocultos.""",Viaja seguro por la ciudad con todas tus pertenencias protegidas.,Estudiantes y viajeros,190000,14,
Humidificador Ultrasónico,Hogar,"Capacidad 2L, modo silencioso, luz nocturna.",Crea el ambiente perfecto para un descanso profundo y reparador.,Personas con alergias,130000,20,,
Lámpara de Monitor ScreenBar,Oficina,"Sin reflejo en pantalla, brillo ajustable, alimentación USB.",Ilumina tu espacio sin cansar tu vista ni ocupar lugar en la mesa.,Desarrolladores,280000,11,,
Trípode para Celular Flexible,Contenido,"Patas tipo pulpo, control remoto Bluetooth.",Graba contenido desde cualquier ángulo y superficie con estabilidad total.,TikTokers,55000,35,,
Power Bank 20.000 mAh,Tecnología,"Carga rápida, 3 puertos de salida, pantalla LED.",Nunca te quedes sin batería cuando más necesitas estar conectado.,Usuarios intensivos de apps,140000,28,,
Kit de Limpieza para Pantallas,Hogar,"Spray biodegradable, paño microfibra premium.",Mantén tus dispositivos como nuevos y libres de huellas en segundos.,Todos los usuarios,35000,100,,